,country,article_name,revision_id,article_quality_est.,population
0,Chad,Bir I of Kanem,355319463.0,Stub,16877000.0
1,Chad,Abdullah II of Kanem,498683267.0,Stub,16877000.0
2,Chad,Salmama II of Kanem,565745353.0,Stub,16877000.0
3,Chad,Kuri I of Kanem,565745365.0,Stub,16877000.0
4,Chad,Mohammed I of Kanem,565745375.0,Stub,16877000.0
5,Chad,Kuri II of Kanem,669719757.0,Stub,16877000.0
6,Chad,Bir II of Kanem,670893206.0,Stub,16877000.0
7,Chad,Mahamat Hissene,693055898.0,Stub,16877000.0
8,Chad,Othman I,705432607.0,Stub,16877000.0
9,Chad,Alphonse Kotiga,707593108.0,Stub,16877000.0
10,Chad,Oueddei Kichidemi,708346649.0,Start,16877000.0
11,Chad,Dunama I,710675092.0,Stub,16877000.0
12,Chad,Ahmad (Kanem-Bornu king),711388267.0,Stub,16877000.0
13,Chad,Djibrine Kerallah,712971263.0,Stub,16877000.0
14,Chad,Maurice Ngangtar,712971315.0,Stub,16877000.0
15,Chad,Idriss Miskine,712971738.0,Stub,16877000.0
16,Chad,Laoukein Kourayo Médard,716886170.0,Stub,16877000.0
17,Chad,Nadji Madou,716886788.0,Stub,16877000.0
18,Chad,Noël Milarew Odingar,716891799.0,Start,16877000.0
19,Chad,Yaya Dillo Djérou,717733209.0,Stub,16877000.0
20,Chad,Acheikh Ibn-Oumar,719821590.0,Start,16877000.0
21,Chad,Quatre Sou Quatre,720066754.0,Stub,16877000.0
22,Chad,Ali Gazi,722563340.0,Stub,16877000.0
23,Chad,Mahamat Djarma Khatir,725132042.0,Stub,16877000.0
24,Chad,Dunama IX Lefiami,731749611.0,Stub,16877000.0
25,Chad,Dawud of Kanem,736550266.0,Stub,16877000.0
26,Chad,Ahmed Koulamallah,738855197.0,Start,16877000.0
27,Chad,Abbo Nassour,741369486.0,C,16877000.0
28,Chad,Abdel Kader Baba-Laddé,742213176.0,Stub,16877000.0
29,Chad,Hummay,747271475.0,Stub,16877000.0
30,Chad,Ngarlejy Yorongar,751304544.0,C,16877000.0
31,Chad,Saleh Kezabo,751380073.0,Stub,16877000.0
32,Chad,Bourkou Louise Kabo,757072468.0,Start,16877000.0
33,Chad,Brahim Koulamallah,757802238.0,Stub,16877000.0
34,Chad,Saadie Goukouni Weddeye,757842614.0,Start,16877000.0
35,Chad,Mahamoud Adam Béchir,762579466.0,Start,16877000.0
36,Chad,Djidingar Dono Ngardoum,764133533.0,Stub,16877000.0
37,Chad,Youssouf Saleh Abbas,771052289.0,C,16877000.0
38,Chad,Koibla Djimasta,774223245.0,Start,16877000.0
39,Chad,Nassour Guelendouksia Ouaido,774223248.0,C,16877000.0
40,Chad,Joseph Brahim Seid,777478442.0,Stub,16877000.0
41,Chad,Joseph Yodoyman,777550078.0,Start,16877000.0
42,Chad,Antoine Bangui,782638002.0,Start,16877000.0
43,Chad,Ibrahim IV of Bornu,785614014.0,Stub,16877000.0
44,Chad,Hadjé Halimé,786449636.0,C,16877000.0
45,Chad,Youssouf Togoïmi,787390241.0,Start,16877000.0
46,Chad,Adoum Younousmi,787719236.0,Start,16877000.0
47,Chad,François Tombalbaye,787738541.0,C,16877000.0
48,Chad,Ahmat Hassaballah Soubiane,787910771.0,Stub,16877000.0
49,Chad,Ahmad Allam-Mi,787921293.0,Start,16877000.0
50,Chad,Laotegguelnodji Koumtog,788009613.0,Stub,16877000.0
51,Chad,Mahamat Ali Adoum,788014671.0,Start,16877000.0
52,Chad,Mahamat Saleh Annadif,788658822.0,Start,16877000.0
53,Chad,Mohamed Bechir-Sow,788827248.0,Stub,16877000.0
54,Chad,Gontchomé Sahoulba,788828388.0,Start,16877000.0
55,Chad,Gabriel Lisette,788828519.0,Start,16877000.0
56,Chad,Ali II of Bornu,788999424.0,Stub,16877000.0
57,Chad,Arabi El Goni,789126126.0,Stub,16877000.0
58,Chad,Dunama Dabbalemi,789935196.0,Start,16877000.0
59,Chad,Idris Alooma,792734868.0,Start,16877000.0
60,Chad,Mahamat Nouri,792954115.0,B,16877000.0
61,Chad,Idriss Ndele Moussa,796654025.0,Stub,16877000.0
62,Chad,Mbaydoum Simeon,796690873.0,Stub,16877000.0
63,Chad,Ngarindo Milengar,796700718.0,Stub,16877000.0
64,Chad,List of Prime Ministers of Chad,797747674.0,Start,16877000.0
65,Chad,Idriss Déby,798286150.0,C,16877000.0
66,Chad,Saleh Kebzabo,798626040.0,C,16877000.0
67,Chad,Moussa Faki,799043301.0,C,16877000.0
68,Chad,Kalzeubet Pahimi Deubet,799413193.0,Stub,16877000.0
69,Chad,Haroun Kabadi,799447895.0,Start,16877000.0
70,Chad,Nagoum Yamassoum,799447995.0,Start,16877000.0
71,Chad,Outel Bono,799448338.0,Start,16877000.0
72,Chad,Ahmat Acyl,799902492.0,C,16877000.0
73,Chad,Djimrangar Dadnadji,800133552.0,Start,16877000.0
74,Chad,Delwa Kassiré Koumakoye,801029539.0,C,16877000.0
75,Chad,Fidèle Moungar,801192255.0,C,16877000.0
76,Chad,Jean Alingué Bawoyeu,801192303.0,B,16877000.0
77,Chad,Emmanuel Nadingar,801573576.0,C,16877000.0
78,Chad,Roger Djikisna,801583221.0,Stub,16877000.0
